27.80 	26.80 	// Abo Inland
4.8 	4.8 	// Einzelheft Inland
4.8 	4.8 	// aktuelles Heft Inland
3.8 	3.8 	// Probeheft Inland
27.80 	26.80 	// kl Probepaket Inland
22.80 	21.80 	// probepaket klein abo
157 	165 	// grosses Probepaket Inland
22.80 	21.80 	// probepaket gross abo
5 	7 	// Index Inland

2	3	// porto Index

1.2	2.2	// porto heft ausgaben
1.4	3.5
1.6	3.5
1.8	3.5
2	8
2.2	8
2.4	8
2.6	8
2.8	8
5	10
5	10
5	10
5	10
5	10
5	10
5	10
5	10
5	10
5	10
8	15
8	15
8	15
8	15
8	15
8	15
8	15
8	15
8	15
8	15
10	15
